# JMH version: 1.21
# VM version: JDK 1.8.0_202, Java HotSpot(TM) 64-Bit Server VM, 25.202-b08
# VM invoker: C:\Program Files\Java\jdk1.8.0_202\jre\bin\java.exe
# VM options: -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: eu.happycoders.int2string.IntToStringBenchmark.option1

# Run progress: 0,00% complete, ETA 00:33:20
# Fork: 1 of 5
# Warmup Iteration   1: 20599560,149 ops/s
# Warmup Iteration   2: 20235113,192 ops/s
# Warmup Iteration   3: 20616433,110 ops/s
# Warmup Iteration   4: 20271378,640 ops/s
# Warmup Iteration   5: 20378715,283 ops/s
Iteration   1: 20672477,690 ops/s
Iteration   2: 20815278,273 ops/s
Iteration   3: 20764304,810 ops/s
Iteration   4: 21162665,297 ops/s
Iteration   5: 21159985,323 ops/s

# Run progress: 5,00% complete, ETA 00:31:47
# Fork: 2 of 5
# Warmup Iteration   1: 20916060,417 ops/s
# Warmup Iteration   2: 20935730,499 ops/s
# Warmup Iteration   3: 20614440,008 ops/s
# Warmup Iteration   4: 20647256,878 ops/s
# Warmup Iteration   5: 20411994,931 ops/s
Iteration   1: 20785378,396 ops/s
Iteration   2: 20320088,787 ops/s
Iteration   3: 20212480,590 ops/s
Iteration   4: 20535772,172 ops/s
Iteration   5: 20738544,473 ops/s

# Run progress: 10,00% complete, ETA 00:30:06
# Fork: 3 of 5
# Warmup Iteration   1: 20455164,870 ops/s
# Warmup Iteration   2: 20562770,437 ops/s
# Warmup Iteration   3: 20589686,573 ops/s
# Warmup Iteration   4: 20610081,978 ops/s
# Warmup Iteration   5: 20551410,374 ops/s
Iteration   1: 20645760,847 ops/s
Iteration   2: 20819248,253 ops/s
Iteration   3: 20573445,442 ops/s
Iteration   4: 20978154,799 ops/s
Iteration   5: 21149360,822 ops/s

# Run progress: 15,00% complete, ETA 00:28:25
# Fork: 4 of 5
# Warmup Iteration   1: 21012549,444 ops/s
