# JMH version: 1.21
# VM version: JDK 13.0.1, Java HotSpot(TM) 64-Bit Server VM, 13.0.1+9
# VM invoker: C:\Program Files\Java\jdk-13.0.1\bin\java.exe
# VM options: -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: eu.happycoders.int2string.IntToStringBenchmark.option1

# Run progress: 0,00% complete, ETA 00:33:20
# Fork: 1 of 5
# Warmup Iteration   1: 26795505,871 ops/s
# Warmup Iteration   2: 26715065,147 ops/s
# Warmup Iteration   3: 26818297,613 ops/s
# Warmup Iteration   4: 27240880,575 ops/s
# Warmup Iteration   5: 27671697,312 ops/s
Iteration   1: 27632997,670 ops/s
Iteration   2: 27755766,880 ops/s
Iteration   3: 27768822,946 ops/s
Iteration   4: 27690150,337 ops/s
Iteration   5: 27594717,533 ops/s

# Run progress: 5,00% complete, ETA 00:31:47
# Fork: 2 of 5
# Warmup Iteration   1: 27066271,999 ops/s
# Warmup Iteration   2: 27529676,644 ops/s
# Warmup Iteration   3: 27865660,907 ops/s
# Warmup Iteration   4: 27743643,751 ops/s
# Warmup Iteration   5: 27871652,440 ops/s
Iteration   1: 27734488,519 ops/s
Iteration   2: 27593047,608 ops/s
Iteration   3: 27660560,470 ops/s
Iteration   4: 27649339,494 ops/s
Iteration   5: 27708361,505 ops/s

# Run progress: 10,00% complete, ETA 00:30:06
# Fork: 3 of 5
# Warmup Iteration   1: 27435099,477 ops/s
# Warmup Iteration   2: 27364221,578 ops/s
# Warmup Iteration   3: 27647539,196 ops/s
# Warmup Iteration   4: 27639531,968 ops/s
# Warmup Iteration   5: 27658601,351 ops/s
Iteration   1: 27686295,235 ops/s
Iteration   2: 27651674,166 ops/s
Iteration   3: 27699012,088 ops/s
Iteration   4: 27577529,784 ops/s
Iteration   5: 27585426,748 ops/s

# Run progress: 15,00% complete, ETA 00:28:25
# Fork: 4 of 5
# Warmup Iteration   1: 27567199,311 ops/s
# Warmup Iteration   2: 27427600,346 ops/s
# Warmup Iteration   3: 27701133,543 ops/s
